"2020-10-21T06:00:27Z","environment","Environment","3.734153335984683"
"2020-10-21T06:00:27Z","technology","Technology","2.303058914372254"
"2020-10-21T05:53:55Z","australia-news","Australia news","0.8996690356717463"
"2020-10-21T05:49:28Z","australia-news","Australia news","1.5891783562492792"
"2020-10-21T05:47:54Z","world","World news","2.1998146233005174"
"2020-10-21T05:41:16Z","australia-news","Australia news","2.6240880687082218"
"2020-10-21T05:30:52Z","world","World news","3.1757998733921666"
"2020-10-21T05:30:27Z","travel","Travel","3.38441126579256"
"2020-10-21T05:30:27Z","global-development","Global development","2.6066900108046123"
"2020-10-21T05:30:26Z","us-news","US news","1.5393002211312157"
"2020-10-21T05:25:26Z","australia-news","Australia news","1.920118154296543"
"2020-10-21T05:21:09Z","environment","Environment","1.4353283831214156"
"2020-10-21T05:15:54Z","world","World news","4.0327460196152805"
"2020-10-21T05:01:26Z","money","Money","2.403367741764032"
"2020-10-21T05:00:27Z","us-news","US news","1.0887112176853981"
"2020-10-21T05:00:27Z","tv-and-radio","Television & radio","1.1039742318094952"
"2020-10-21T05:00:27Z","stage","Stage","2.8337927183482052"
"2020-10-21T05:00:26Z","commentisfree","Opinion","3.9844027674454012"
"2020-10-21T05:00:26Z","politics","Politics","2.778467633939557"
"2020-10-21T05:00:26Z","society","Society","4.036948344858438"
"2020-10-21T04:57:01Z","world","World news","4.372986446295964"
"2020-10-21T04:30:25Z","environment","Environment","1.784711054957088"
"2020-10-21T04:30:25Z","environment","Environment","0.0"
"2020-10-21T04:22:37Z","world","World news","2.462116732362367"
"2020-10-21T04:02:23Z","environment","Environment","1.9703016021794724"
"2020-10-21T04:01:25Z","environment","Environment","3.6542996407001263"
"2020-10-21T04:00:25Z","world","World news","1.7039303935602375"
"2020-10-21T03:16:20Z","world","World news","3.9512787466914894"
"2020-10-21T03:06:35Z","australia-news","Australia news","4.183452161688375"
"2020-10-21T02:23:56Z","australia-news","Australia news","1.5396598033724467"
"2020-10-21T02:02:30Z","us-news","US news","3.5942722602452686"
"2020-10-21T01:55:35Z","world","World news","1.898073630073301"
"2020-10-21T01:44:46Z","us-news","US news","2.3106118163223246"
"2020-10-21T01:36:29Z","australia-news","Australia news","2.2491536477703744"
"2020-10-21T01:10:50Z","uk-news","UK news","3.0394572122553134"
"2020-10-21T00:45:31Z","science","Science","2.2534996935245024"
"2020-10-21T00:00:20Z","business","Business","3.0135103863240156"
