"2020-11-16T23:59:08Z","powershop-power-potential","Powershop: Power potential","1.5821217619833163"
"2020-11-16T06:20:02Z","tv-and-radio","Television & radio","1.1144139718594317"
"2020-11-16T06:16:46Z","world","World news","3.5891314844409057"
"2020-11-16T06:01:01Z","business","Business","3.404223102578692"
"2020-11-16T06:01:01Z","environment","Environment","3.406117991008918"
"2020-11-16T06:00:03Z","books","Books","2.200513377833981"
"2020-11-16T06:00:03Z","stage","Stage","3.3804598196340785"
"2020-11-16T06:00:03Z","film","Film","1.580302040620281"
"2020-11-16T06:00:03Z","environment","Environment","2.743768283704289"
"2020-11-16T06:00:02Z","commentisfree","Opinion","1.5044664045335483"
"2020-11-16T06:00:02Z","society","Society","3.495646003069533"
"2020-11-16T06:00:02Z","politics","Politics","2.6003779732863217"
"2020-11-16T06:00:02Z","tv-and-radio","Television & radio","1.8641702655591956"
"2020-11-16T06:00:01Z","business","Business","3.836280482515309"
"2020-11-16T05:52:08Z","australia-news","Australia news","0.0"
"2020-11-16T05:46:42Z","science","Science","2.378399825716158"
"2020-11-16T05:30:01Z","environment","Environment","1.536216042554174"
"2020-11-16T05:21:52Z","world","World news","3.1859576265062897"
"2020-11-16T05:16:07Z","australia-news","Australia news","1.5616077393031853"
"2020-11-16T04:46:54Z","commentisfree","Opinion","3.8573865164647025"
"2020-11-16T00:50:02Z","australia-news","Australia news","4.196491257670391"
"2020-11-16T00:01:50Z","world","World news","4.4746686382204395"
"2020-11-16T00:00:50Z","crosswords","Crosswords","0.0"
"2020-11-16T00:00:50Z","crosswords","Crosswords","0.0"
"2020-11-16T00:00:50Z","crosswords","Crosswords","0.0"
